x,y,v
16,24,9631284.000000
16,25,9597905.000000
16,26,9554920.000000
16,27,9505656.000000
16,28,9452809.000000
16,29,9398736.000000
16,30,9345112.000000
16,31,9292942.000000
16,32,9242777.000000
16,33,9194551.000000
16,34,9147860.000000
16,35,9102390.000000
16,36,9057993.000000
16,37,9014667.000000
16,38,8972647.000000
16,39,8932321.000000
16,40,8894070.000000
16,41,8858422.000000
16,42,8825556.000000
16,43,8795609.000000
16,44,8768413.000000
16,45,8743544.000000
16,46,8720443.000000
16,47,8698522.000000
16,48,8677141.000000
16,49,8655886.000000
17,0,8403356.000000
17,1,8406237.000000
17,2,8411181.000000
17,3,8419549.000000
17,4,8432694.000000
17,5,8451869.000000
17,6,8478110.000000
17,7,8512526.000000
17,8,8556092.000000
17,9,8609154.000000
17,10,8671429.000000
17,11,8742076.000000
17,12,8819793.000000
17,13,8902990.000000
17,14,8989587.000000
17,15,9076692.000000
17,16,9160857.000000
17,17,9238546.000000
17,18,9306691.000000
17,19,9362886.000000
17,20,9405339.000000
17,21,9432881.000000
17,22,9445086.000000
17,23,9442433.000000
17,24,9426517.000000
17,25,9399877.000000
17,26,9365322.000000
17,27,9325438.000000
17,28,9282418.000000
17,29,9238291.000000
17,30,9194470.000000
17,31,9151908.000000
17,32,9111027.000000
17,33,9071696.000000
17,34,9033593.000000
17,35,8996366.000000
17,36,8959880.000000
17,37,8924144.000000
17,38,8889330.000000
17,39,8855839.000000
17,40,8823992.000000
17,41,8794238.000000
17,42,8766878.000000
17,43,8742053.000000
17,44,8719700.000000
17,45,8699408.000000
17,46,8680703.000000
17,47,8662916.000000
17,48,8645504.000000
17,49,8627850.000000
18,0,8403110.000000
18,1,8404934.000000
18,2,8408390.000000
18,3,8414544.000000
18,4,8424491.000000
18,5,8439155.000000
18,6,8459238.000000
18,7,8485536.000000
18,8,8518979.000000
18,9,8559914.000000
18,10,8608149.000000
18,11,8663079.000000
18,12,8723765.000000
18,13,8788874.000000
18,14,8856918.000000
18,15,8925716.000000
18,16,8992571.000000
18,17,9054743.000000
18,18,9109794.000000
18,19,9155799.000000
18,20,9191121.000000
18,21,9214617.000000
18,22,9225809.000000
18,23,9225126.000000
18,24,9213903.000000
18,25,9194247.000000
18,26,9168249.000000
18,27,9137862.000000
18,28,9104855.000000
18,29,9070782.000000
18,30,9036921.000000
18,31,9004052.000000
18,32,8972535.000000
18,33,8942299.000000
18,34,8912982.000000
18,35,8884261.000000
18,36,8856021.000000
18,37,8828200.000000
18,38,8800941.000000
18,39,8774535.000000
18,40,8749366.000000
18,41,8725825.000000
18,42,8704259.000000
18,43,8684818.000000
18,44,8667411.000000
18,45,8651708.000000
18,46,8637299.000000
18,47,8623592.000000
18,48,8609975.000000
18,49,8595839.000000
19,0,8402972.000000
19,1,8404136.000000
19,2,8406317.000000
19,3,8410429.000000
19,4,8417261.000000
19,5,8427482.000000
19,6,8441609.000000
19,7,8460233.000000
19,8,8484056.000000
19,9,8513440.000000
19,10,8548320.000000
19,11,8588350.000000
19,12,8632880.000000
19,13,8681065.000000
19,14,8731715.000000
19,15,8783235.000000
19,16,8833764.000000
19,17,8881223.000000
19,18,8923761.000000
19,19,8959819.000000
19,20,8987995.000000
19,21,9007287.000000
19,22,9017336.000000
19,23,9018474.000000
19,24,9011692.000000
19,25,8998460.000000
19,26,8980274.000000
19,27,8958608.000000
19,28,8934804.000000
19,29,8910084.000000
19,30,8885445.000000
19,31,8861505.000000
19,32,8838656.000000
19,33,8816787.000000
19,34,8795650.000000
19,35,8774907.000000
19,36,8754452.000000
19,37,8734209.000000
19,38,8714298.000000
19,39,8694916.000000
19,40,8676319.000000
19,41,8658926.000000
19,42,8643022.000000
19,43,8628740.000000
19,44,8616005.000000
19,45,8604540.000000
19,46,8593987.000000
19,47,8583894.000000
19,48,8573648.000000
19,49,8562721.000000
20,0,8403422.000000
20,1,8404218.000000
20,2,8405438.000000
20,3,8407748.000000
20,4,8411728.000000
20,5,8417922.000000
20,6,8426693.000000
20,7,8438505.000000
20,8,8453948.000000
20,9,8473294.000000
20,10,8496550.000000
20,11,8523512.000000
20,12,8553952.000000
20,13,8587438.000000
20,14,8623093.000000
20,15,8659840.000000
20,16,8696254.000000
20,17,8730859.000000
20,18,8762234.000000
20,19,8789173.000000
20,20,8810647.000000
20,21,8825926.000000
20,22,8834730.000000
20,23,8837191.000000
20,24,8833971.000000
20,25,8825966.000000
20,26,8814192.000000
20,27,8799752.000000
20,28,8783713.000000
20,29,8766908.000000
20,30,8750118.000000
20,31,8733810.000000
20,32,8718294.000000
20,33,8703553.000000
20,34,8689359.000000
20,35,8675538.000000
20,36,8661906.000000
20,37,8648430.000000
20,38,8635229.000000
20,39,8622316.000000
20,40,8609937.000000
20,41,8598261.000000
20,42,8587498.000000
20,43,8577843.000000
20,44,8569185.000000
20,45,8561328.000000
20,46,8553986.000000
20,47,8546860.000000
20,48,8539448.000000
20,49,8531236.000000
21,0,8404722.000000
21,1,8405459.000000
21,2,8405965.000000
21,3,8406795.000000
21,4,8408387.000000
21,5,8411104.000000
21,6,8415317.000000
21,7,8421510.000000
21,8,8430075.000000
21,9,8441261.000000
21,10,8455155.000000
21,11,8471700.000000
21,12,8490856.000000
21,13,8512531.000000
21,14,8536261.000000
21,15,8561208.000000
21,16,8586347.000000
21,17,8610511.000000
21,18,8632691.000000
21,19,8651990.000000
21,20,8667722.000000
21,21,8679324.000000
21,22,8686630.000000
21,23,8689674.000000
21,24,8688826.000000
21,25,8684618.000000
21,26,8677670.000000
21,27,8668785.000000
21,28,8658685.000000
21,29,8648080.000000
21,30,8637406.000000
21,31,8627036.000000
21,32,8617222.000000
21,33,8608039.000000
21,34,8599360.000000
21,35,8591099.000000
21,36,8583080.000000
21,37,8575318.000000
21,38,8567838.000000
21,39,8560631.000000
21,40,8553665.000000
21,41,8547014.000000
21,42,8540719.000000
21,43,8534896.000000
21,44,8529540.000000
21,45,8524557.000000
21,46,8519752.000000
21,47,8514906.000000
21,48,8509638.000000
21,49,8503524.000000
22,0,8406840.000000
22,1,8407766.000000
22,2,8407901.000000
22,3,8407642.000000
22,4,8407356.000000
22,5,8407260.000000
22,6,8407815.000000
22,7,8409536.000000
22,8,8412722.000000
22,9,8417670.000000
22,10,8424518.000000
22,11,8433324.000000
22,12,8444216.000000
22,13,8457206.000000
22,14,8472060.000000
22,15,8488185.000000
22,16,8504808.000000
22,17,8520995.000000
22,18,8536109.000000
22,19,8549512.000000
22,20,8560613.000000
22,21,8569110.000000
22,22,8574907.000000
22,23,8578026.000000
22,24,8578639.000000
22,25,8577031.000000
22,26,8573480.000000
22,27,8568525.000000
22,28,8562718.000000
22,29,8556504.000000
22,30,8550157.000000
22,31,8543919.000000
22,32,8538075.000000
22,33,8532790.000000
22,34,8528107.000000
22,35,8523974.000000
22,36,8520295.000000
22,37,8517062.000000
22,38,8514250.000000
22,39,8511767.000000
22,40,8509310.000000
22,41,8506769.000000
22,42,8504118.000000
22,43,8501383.000000
22,44,8498631.000000
22,45,8495793.000000
22,46,8492810.000000
22,47,8489488.000000
22,48,8485632.000000
22,49,8480960.000000
23,0,8409590.000000
23,1,8410935.000000
23,2,8411017.000000
23,3,8410094.000000
23,4,8408411.000000
23,5,8406222.000000
23,6,8403998.000000
23,7,8402314.000000
23,8,8401520.000000
23,9,8401969.000000
23,10,8403923.000000
23,11,8407468.000000
23,12,8412774.000000
23,13,8419889.000000
23,14,8428664.000000
23,15,8438611.000000
23,16,8449158.000000
23,17,8459597.000000
23,18,8469549.000000
23,19,8478588.000000
23,20,8486282.000000
23,21,8492411.000000
23,22,8497001.000000
23,23,8499991.000000
23,24,8501466.000000
23,25,8501555.000000
23,26,8500314.000000
23,27,8498048.000000
23,28,8495069.000000
23,29,8491689.000000
23,30,8488032.000000
23,31,8484274.000000
23,32,8480772.000000
23,33,8477876.000000
23,34,8475724.000000
23,35,8474389.000000
23,36,8473807.000000
23,37,8474011.000000
23,38,8474831.000000
23,39,8476011.000000
23,40,8477111.000000
23,41,8477816.000000
23,42,8478026.000000
23,43,8477713.000000
23,44,8476890.000000
23,45,8475538.000000
23,46,8473667.000000
23,47,8471179.000000
23,48,8468074.000000
23,49,8464186.000000
24,0,8412838.000000
24,1,8414758.000000
24,2,8414970.000000
24,3,8413626.000000
24,4,8410995.000000
24,5,8407342.000000
24,6,8403143.000000
24,7,8399018.000000
24,8,8395538.000000
24,9,8393086.000000
24,10,8391961.000000
24,11,8392295.000000
24,12,8394228.000000
24,13,8397766.000000
24,14,8402705.000000
24,15,8408649.000000
24,16,8415116.000000
24,17,8421709.000000
24,18,8428101.000000
24,19,8434116.000000
24,20,8439417.000000
24,21,8443919.000000
24,22,8447627.000000
24,23,8450511.000000
24,24,8452575.000000
24,25,8453777.000000
24,26,8454106.000000
24,27,8453619.000000
24,28,8452384.000000
24,29,8450542.000000
24,30,8448230.000000
24,31,8445618.000000
24,32,8443195.000000
24,33,8441419.000000
24,34,8440592.000000
24,35,8440888.000000
24,36,8442377.000000
24,37,8444949.000000
24,38,8448359.000000
24,39,8452229.000000
24,40,8456007.000000
24,41,8459236.000000
24,42,8461672.000000
24,43,8463198.000000
24,44,8463743.000000
24,45,8463295.000000
24,46,8461918.000000
24,47,8459689.000000
24,48,8456734.000000
24,49,8453129.000000
